Groupe d'aliments,Famille,Substance,Contribution_MB
Chocolat,Contaminants inorganiques et minéraux,Cuivre,2
Sucres et dérivés,Contaminants inorganiques et minéraux,Cuivre,0
Eaux,Contaminants inorganiques et minéraux,Cuivre,4
Boissons fraîches sans alcool,Contaminants inorganiques et minéraux,Cuivre,1
Boissons alcoolisées,Contaminants inorganiques et minéraux,Cuivre,1
Café,Contaminants inorganiques et minéraux,Cuivre,36
Autres boissons chaudes,Contaminants inorganiques et minéraux,Cuivre,3
"Pizzas, quiches et pâtisseries salées",Contaminants inorganiques et minéraux,Cuivre,1
"Sandwiches, casse-croûte",Contaminants inorganiques et minéraux,Cuivre,1
Soupes et bouillons,Contaminants inorganiques et minéraux,Cuivre,2
Plats composés,Contaminants inorganiques et minéraux,Cuivre,2
"Entremets, crèmes desserts et laits gélifiés",Contaminants inorganiques et minéraux,Cuivre,1
Compotes et fruits cuits,Contaminants inorganiques et minéraux,Cuivre,0
Condiments et sauces,Contaminants inorganiques et minéraux,Cuivre,0
Aliments particuliers,Contaminants inorganiques et minéraux,Cuivre,0
Pain et panification sèche,Contaminants inorganiques et minéraux,Zinc,8
Céréales pour petit déjeuner,Contaminants inorganiques et minéraux,Zinc,0
Pâtes,Contaminants inorganiques et minéraux,Zinc,2
Riz et blé dur ou concassé,Contaminants inorganiques et minéraux,Zinc,1
Viennoiserie,Contaminants inorganiques et minéraux,Zinc,1
Biscuits sucrés ou salés et barres,Contaminants inorganiques et minéraux,Zinc,1
Pâtisseries et gâteaux,Contaminants inorganiques et minéraux,Zinc,1
Lait,Contaminants inorganiques et minéraux,Zinc,4
Ultra-frais laitier,Contaminants inorganiques et minéraux,Zinc,4
Fromages,Contaminants inorganiques et minéraux,Zinc,7
Oeufs et dérivés,Contaminants inorganiques et minéraux,Zinc,2
Beurre,Contaminants inorganiques et minéraux,Zinc,0
Huile,Contaminants inorganiques et minéraux,Zinc,0
Margarine,Contaminants inorganiques et minéraux,Zinc,0
Viande,Contaminants inorganiques et minéraux,Zinc,25
Volaille et gibier,Contaminants inorganiques et minéraux,Zinc,5
Abats,Contaminants inorganiques et minéraux,Zinc,1
Charcuterie,Contaminants inorganiques et minéraux,Zinc,8
Poissons,Contaminants inorganiques et minéraux,Zinc,1
Crustacés et mollusques,Contaminants inorganiques et minéraux,Zinc,2
Légumes (hors pomme de terre),Contaminants inorganiques et minéraux,Zinc,3
Pommes de terre et apparentés,Contaminants inorganiques et minéraux,Zinc,2
Légumes secs,Contaminants inorganiques et minéraux,Zinc,1
Fruits,Contaminants inorganiques et minéraux,Zinc,1
Fruits secs et graines oléagineuses,Contaminants inorganiques et minéraux,Zinc,1
Glaces et desserts glacés,Contaminants inorganiques et minéraux,Zinc,0
Chocolat,Contaminants inorganiques et minéraux,Zinc,1
Sucres et dérivés,Contaminants inorganiques et minéraux,Zinc,0
Eaux,Contaminants inorganiques et minéraux,Zinc,1
Boissons fraîches sans alcool,Contaminants inorganiques et minéraux,Zinc,0
Boissons alcoolisées,Contaminants inorganiques et minéraux,Zinc,2
Café,Contaminants inorganiques et minéraux,Zinc,1
Autres boissons chaudes,Contaminants inorganiques et minéraux,Zinc,1
"Pizzas, quiches et pâtisseries salées",Contaminants inorganiques et minéraux,Zinc,2
"Sandwiches, casse-croûte",Contaminants inorganiques et minéraux,Zinc,3
Soupes et bouillons,Contaminants inorganiques et minéraux,Zinc,1
Plats composés,Contaminants inorganiques et minéraux,Zinc,6
"Entremets, crèmes desserts et laits gélifiés",Contaminants inorganiques et minéraux,Zinc,1
Compotes et fruits cuits,Contaminants inorganiques et minéraux,Zinc,0
Condiments et sauces,Contaminants inorganiques et minéraux,Zinc,0
Aliments particuliers,Contaminants inorganiques et minéraux,Zinc,0
Pain et panification sèche,Contaminants inorganiques et minéraux,Lithium,2
Céréales pour petit déjeuner,Contaminants inorganiques et minéraux,Lithium,0
Pâtes,Contaminants inorganiques et minéraux,Lithium,3
Riz et blé dur ou concassé,Contaminants inorganiques et minéraux,Lithium,2
Viennoiserie,Contaminants inorganiques et minéraux,Lithium,0
Biscuits sucrés ou salés et barres,Contaminants inorganiques et minéraux,Lithium,0
Pâtisseries et gâteaux,Contaminants inorganiques et minéraux,Lithium,1
Lait,Contaminants inorganiques et minéraux,Lithium,1
Ultra-frais laitier,Contaminants inorganiques et minéraux,Lithium,1
Fromages,Contaminants inorganiques et minéraux,Lithium,0
Oeufs et dérivés,Contaminants inorganiques et minéraux,Lithium,0
Beurre,Contaminants inorganiques et minéraux,Lithium,0
Huile,Contaminants inorganiques et minéraux,Lithium,0
Margarine,Contaminants inorganiques et minéraux,Lithium,0
Viande,Contaminants inorganiques et minéraux,Lithium,0
Volaille et gibier,Contaminants inorganiques et minéraux,Lithium,0
Abats,Contaminants inorganiques et minéraux,Lithium,0
Charcuterie,Contaminants inorganiques et minéraux,Lithium,0
Poissons,Contaminants inorganiques et minéraux,Lithium,0
Crustacés et mollusques,Contaminants inorganiques et minéraux,Lithium,0
Légumes (hors pomme de terre),Contaminants inorganiques et minéraux,Lithium,5
Pommes de terre et apparentés,Contaminants inorganiques et minéraux,Lithium,2
Légumes secs,Contaminants inorganiques et minéraux,Lithium,1
Fruits,Contaminants inorganiques et minéraux,Lithium,2
Fruits secs et graines oléagineuses,Contaminants inorganiques et minéraux,Lithium,0
Glaces et desserts glacés,Contaminants inorganiques et minéraux,Lithium,0
Chocolat,Contaminants inorganiques et minéraux,Lithium,0
Sucres et dérivés,Contaminants inorganiques et minéraux,Lithium,0
Eaux,Contaminants inorganiques et minéraux,Lithium,35
Boissons fraîches sans alcool,Contaminants inorganiques et minéraux,Lithium,2
Boissons alcoolisées,Contaminants inorganiques et minéraux,Lithium,2
Café,Contaminants inorganiques et minéraux,Lithium,17
Autres boissons chaudes,Contaminants inorganiques et minéraux,Lithium,14
"Pizzas, quiches et pâtisseries salées",Contaminants inorganiques et minéraux,Lithium,1
"Sandwiches, casse-croûte",Contaminants inorganiques et minéraux,Lithium,0
Soupes et bouillons,Contaminants inorganiques et minéraux,Lithium,5
Plats composés,Contaminants inorganiques et minéraux,Lithium,2
"Entremets, crèmes desserts et laits gélifiés",Contaminants inorganiques et minéraux,Lithium,0
Compotes et fruits cuits,Contaminants inorganiques et minéraux,Lithium,0
Condiments et sauces,Contaminants inorganiques et minéraux,Lithium,0
Aliments particuliers,Contaminants inorganiques et minéraux,Lithium,0
Pain et panification sèche,Contaminants inorganiques et minéraux,Sodium,30
Céréales pour petit déjeuner,Contaminants inorganiques et minéraux,Sodium,0
Pâtes,Contaminants inorganiques et minéraux,Sodium,3
Riz et blé dur ou concassé,Contaminants inorganiques et minéraux,Sodium,1
Viennoiserie,Contaminants inorganiques et minéraux,Sodium,2
Biscuits sucrés ou salés et barres,Contaminants inorganiques et minéraux,Sodium,1
Pâtisseries et gâteaux,Contaminants inorganiques et minéraux,Sodium,3
Lait,Contaminants inorganiques et minéraux,Sodium,1
Ultra-frais laitier,Contaminants inorganiques et minéraux,Sodium,1
Fromages,Contaminants inorganiques et minéraux,Sodium,6
Oeufs et dérivés,Contaminants inorganiques et minéraux,Sodium,1
Beurre,Contaminants inorganiques et minéraux,Sodium,1
Huile,Contaminants inorganiques et minéraux,Sodium,0
Margarine,Contaminants inorganiques et minéraux,Sodium,0
Viande,Contaminants inorganiques et minéraux,Sodium,1
Volaille et gibier,Contaminants inorganiques et minéraux,Sodium,1
Abats,Contaminants inorganiques et minéraux,Sodium,0
Charcuterie,Contaminants inorganiques et minéraux,Sodium,11
Poissons,Contaminants inorganiques et minéraux,Sodium,1
Crustacés et mollusques,Contaminants inorganiques et minéraux,Sodium,1
Légumes (hors pomme de terre),Contaminants inorganiques et minéraux,Sodium,3
Pommes de terre et apparentés,Contaminants inorganiques et minéraux,Sodium,2
Légumes secs,Contaminants inorganiques et minéraux,Sodium,0
Fruits,Contaminants inorganiques et minéraux,Sodium,0
Fruits secs et graines oléagineuses,Contaminants inorganiques et minéraux,Sodium,0
Glaces et desserts glacés,Contaminants inorganiques et minéraux,Sodium,0
Chocolat,Contaminants inorganiques et minéraux,Sodium,0
Sucres et dérivés,Contaminants inorganiques et minéraux,Sodium,0
Eaux,Contaminants inorganiques et minéraux,Sodium,1
Boissons fraîches sans alcool,Contaminants inorganiques et minéraux,Sodium,0
Boissons alcoolisées,Contaminants inorganiques et minéraux,Sodium,0
Café,Contaminants inorganiques et minéraux,Sodium,0
Autres boissons chaudes,Contaminants inorganiques et minéraux,Sodium,0
"Pizzas, quiches et pâtisseries salées",Contaminants inorganiques et minéraux,Sodium,4
"Sandwiches, casse-croûte",Contaminants inorganiques et minéraux,Sodium,3
Soupes et bouillons,Contaminants inorganiques et minéraux,Sodium,6
Plats composés,Contaminants inorganiques et minéraux,Sodium,5
"Entremets, crèmes desserts et laits gélifiés",Contaminants inorganiques et minéraux,Sodium,1
Compotes et fruits cuits,Contaminants inorganiques et minéraux,Sodium,0
Condiments et sauces,Contaminants inorganiques et minéraux,Sodium,6
Aliments particuliers,Contaminants inorganiques et minéraux,Sodium,0
Pain et panification sèche,Contaminants inorganiques et minéraux,Molybdène,16
Céréales pour petit déjeuner,Contaminants inorganiques et minéraux,Molybdène,0
Pâtes,Contaminants inorganiques et minéraux,Molybdène,4
Riz et blé dur ou concassé,Contaminants inorganiques et minéraux,Molybdène,3
Viennoiserie,Contaminants inorganiques et minéraux,Molybdène,1
Biscuits sucrés ou salés et barres,Contaminants inorganiques et minéraux,Molybdène,1
Pâtisseries et gâteaux,Contaminants inorganiques et minéraux,Molybdène,2
Lait,Contaminants inorganiques et minéraux,Molybdène,4
Ultra-frais laitier,Contaminants inorganiques et minéraux,Molybdène,4
Fromages,Contaminants inorganiques et minéraux,Molybdène,2
Oeufs et dérivés,Contaminants inorganiques et minéraux,Molybdène,1
Beurre,Contaminants inorganiques et minéraux,Molybdène,0
Huile,Contaminants inorganiques et minéraux,Molybdène,0
Margarine,Contaminants inorganiques et minéraux,Molybdène,0
Viande,Contaminants inorganiques et minéraux,Molybdène,1
Volaille et gibier,Contaminants inorganiques et minéraux,Molybdène,1
Abats,Contaminants inorganiques et minéraux,Molybdène,1
Charcuterie,Contaminants inorganiques et minéraux,Molybdène,2
Poissons,Contaminants inorganiques et minéraux,Molybdène,0
Crustacés et mollusques,Contaminants inorganiques et minéraux,Molybdène,1
Légumes (hors pomme de terre),Contaminants inorganiques et minéraux,Molybdène,9
Pommes de terre et apparentés,Contaminants inorganiques et minéraux,Molybdène,3
Légumes secs,Contaminants inorganiques et minéraux,Molybdène,7
Fruits,Contaminants inorganiques et minéraux,Molybdène,6
Fruits secs et graines oléagineuses,Contaminants inorganiques et minéraux,Molybdène,2
Glaces et desserts glacés,Contaminants inorganiques et minéraux,Molybdène,1
Chocolat,Contaminants inorganiques et minéraux,Molybdène,1
Sucres et dérivés,Contaminants inorganiques et minéraux,Molybdène,1
Eaux,Contaminants inorganiques et minéraux,Molybdène,2
Boissons fraîches sans alcool,Contaminants inorganiques et minéraux,Molybdène,1
Boissons alcoolisées,Contaminants inorganiques et minéraux,Molybdène,4
Café,Contaminants inorganiques et minéraux,Molybdène,1
Autres boissons chaudes,Contaminants inorganiques et minéraux,Molybdène,1
"Pizzas, quiches et pâtisseries salées",Contaminants inorganiques et minéraux,Molybdène,2
"Sandwiches, casse-croûte",Contaminants inorganiques et minéraux,Molybdène,1
Soupes et bouillons,Contaminants inorganiques et minéraux,Molybdène,2
Plats composés,Contaminants inorganiques et minéraux,Molybdène,5
"Entremets, crèmes desserts et laits gélifiés",Contaminants inorganiques et minéraux,Molybdène,1
Compotes et fruits cuits,Contaminants inorganiques et minéraux,Molybdène,1
Condiments et sauces,Contaminants inorganiques et minéraux,Molybdène,0
Aliments particuliers,Contaminants inorganiques et minéraux,Molybdène,0
Pain et panification sèche,Contaminants inorganiques et minéraux,Sélénium,4
Céréales pour petit déjeuner,Contaminants inorganiques et minéraux,Sélénium,0
Pâtes,Contaminants inorganiques et minéraux,Sélénium,2
Riz et blé dur ou concassé,Contaminants inorganiques et minéraux,Sélénium,1
Viennoiserie,Contaminants inorganiques et minéraux,Sélénium,0
Biscuits sucrés ou salés et barres,Contaminants inorganiques et minéraux,Sélénium,0
Pâtisseries et gâteaux,Contaminants inorganiques et minéraux,Sélénium,1
Lait,Contaminants inorganiques et minéraux,Sélénium,3
Ultra-frais laitier,Contaminants inorganiques et minéraux,Sélénium,3
Fromages,Contaminants inorganiques et minéraux,Sélénium,1
Oeufs et dérivés,Contaminants inorganiques et minéraux,Sélénium,1
Beurre,Contaminants inorganiques et minéraux,Sélénium,1
Huile,Contaminants inorganiques et minéraux,Sélénium,0
Margarine,Contaminants inorganiques et minéraux,Sélénium,0
Viande,Contaminants inorganiques et minéraux,Sélénium,2
Volaille et gibier,Contaminants inorganiques et minéraux,Sélénium,2
Abats,Contaminants inorganiques et minéraux,Sélénium,1
Charcuterie,Contaminants inorganiques et minéraux,Sélénium,1
Poissons,Contaminants inorganiques et minéraux,Sélénium,3
Crustacés et mollusques,Contaminants inorganiques et minéraux,Sélénium,1
Légumes (hors pomme de terre),Contaminants inorganiques et minéraux,Sélénium,4
Pommes de terre et apparentés,Contaminants inorganiques et minéraux,Sélénium,2
Légumes secs,Contaminants inorganiques et minéraux,Sélénium,0
Fruits,Contaminants inorganiques et minéraux,Sélénium,5
Fruits secs et graines oléagineuses,Contaminants inorganiques et minéraux,Sélénium,0
Glaces et desserts glacés,Contaminants inorganiques et minéraux,Sélénium,0
Chocolat,Contaminants inorganiques et minéraux,Sélénium,0
Sucres et dérivés,Contaminants inorganiques et minéraux,Sélénium,1
Eaux,Contaminants inorganiques et minéraux,Sélénium,27
Boissons fraîches sans alcool,Contaminants inorganiques et minéraux,Sélénium,4
Boissons alcoolisées,Contaminants inorganiques et minéraux,Sélénium,6
Café,Contaminants inorganiques et minéraux,Sélénium,9
Autres boissons chaudes,Contaminants inorganiques et minéraux,Sélénium,5
"Pizzas, quiches et pâtisseries salées",Contaminants inorganiques et minéraux,Sélénium,1
"Sandwiches, casse-croûte",Contaminants inorganiques et minéraux,Sélénium,1
Soupes et bouillons,Contaminants inorganiques et minéraux,Sélénium,3
Plats composés,Contaminants inorganiques et minéraux,Sélénium,1
"Entremets, crèmes desserts et laits gélifiés",Contaminants inorganiques et minéraux,Sélénium,1
Compotes et fruits cuits,Contaminants inorganiques et minéraux,Sélénium,1
Condiments et sauces,Contaminants inorganiques et minéraux,Sélénium,0
Aliments particuliers,Contaminants inorganiques et minéraux,Sélénium,0
Pain et panification sèche,Contaminants inorganiques et minéraux,Potassium,8
Céréales pour petit déjeuner,Contaminants inorganiques et minéraux,Potassium,0
Pâtes,Contaminants inorganiques et minéraux,Potassium,1
Riz et blé dur ou concassé,Contaminants inorganiques et minéraux,Potassium,0
Viennoiserie,Contaminants inorganiques et minéraux,Potassium,1
Biscuits sucrés ou salés et barres,Contaminants inorganiques et minéraux,Potassium,1
Pâtisseries et gâteaux,Contaminants inorganiques et minéraux,Potassium,2
Lait,Contaminants inorganiques et minéraux,Potassium,5
Ultra-frais laitier,Contaminants inorganiques et minéraux,Potassium,5
Fromages,Contaminants inorganiques et minéraux,Potassium,1
Oeufs et dérivés,Contaminants inorganiques et minéraux,Potassium,1
Beurre,Contaminants inorganiques et minéraux,Potassium,0
Huile,Contaminants inorganiques et minéraux,Potassium,0
Margarine,Contaminants inorganiques et minéraux,Potassium,0
Viande,Contaminants inorganiques et minéraux,Potassium,6
Volaille et gibier,Contaminants inorganiques et minéraux,Potassium,4
Abats,Contaminants inorganiques et minéraux,Potassium,0
Charcuterie,Contaminants inorganiques et minéraux,Potassium,4
Poissons,Contaminants inorganiques et minéraux,Potassium,1
Crustacés et mollusques,Contaminants inorganiques et minéraux,Potassium,0
Légumes (hors pomme de terre),Contaminants inorganiques et minéraux,Potassium,10
Pommes de terre et apparentés,Contaminants inorganiques et minéraux,Potassium,8
Légumes secs,Contaminants inorganiques et minéraux,Potassium,0
Fruits,Contaminants inorganiques et minéraux,Potassium,9
Fruits secs et graines oléagineuses,Contaminants inorganiques et minéraux,Potassium,1
Glaces et desserts glacés,Contaminants inorganiques et minéraux,Potassium,1
Chocolat,Contaminants inorganiques et minéraux,Potassium,1
Sucres et dérivés,Contaminants inorganiques et minéraux,Potassium,0
Eaux,Contaminants inorganiques et minéraux,Potassium,0
Boissons fraîches sans alcool,Contaminants inorganiques et minéraux,Potassium,3
Boissons alcoolisées,Contaminants inorganiques et minéraux,Potassium,4
Café,Contaminants inorganiques et minéraux,Potassium,9
Autres boissons chaudes,Contaminants inorganiques et minéraux,Potassium,1
"Pizzas, quiches et pâtisseries salées",Contaminants inorganiques et minéraux,Potassium,1
"Sandwiches, casse-croûte",Contaminants inorganiques et minéraux,Potassium,1
Soupes et bouillons,Contaminants inorganiques et minéraux,Potassium,4
Plats composés,Contaminants inorganiques et minéraux,Potassium,3
"Entremets, crèmes desserts et laits gélifiés",Contaminants inorganiques et minéraux,Potassium,2
Compotes et fruits cuits,Contaminants inorganiques et minéraux,Potassium,1
Condiments et sauces,Contaminants inorganiques et minéraux,Potassium,1
Aliments particuliers,Contaminants inorganiques et minéraux,Potassium,0
Pain et panification sèche,Contaminants inorganiques et minéraux,Fer,16
Céréales pour petit déjeuner,Contaminants inorganiques et minéraux,Fer,1
Pâtes,Contaminants inorganiques et minéraux,Fer,3
Riz et blé dur ou concassé,Contaminants inorganiques et minéraux,Fer,1
Viennoiserie,Contaminants inorganiques et minéraux,Fer,2
Biscuits sucrés ou salés et barres,Contaminants inorganiques et minéraux,Fer,2
Pâtisseries et gâteaux,Contaminants inorganiques et minéraux,Fer,4
Lait,Contaminants inorganiques et minéraux,Fer,0
Ultra-frais laitier,Contaminants inorganiques et minéraux,Fer,1
Fromages,Contaminants inorganiques et minéraux,Fer,0
Oeufs et dérivés,Contaminants inorganiques et minéraux,Fer,3
Beurre,Contaminants inorganiques et minéraux,Fer,0
Huile,Contaminants inorganiques et minéraux,Fer,0
Margarine,Contaminants inorganiques et minéraux,Fer,0
Viande,Contaminants inorganiques et minéraux,Fer,10
Volaille et gibier,Contaminants inorganiques et minéraux,Fer,3
Abats,Contaminants inorganiques et minéraux,Fer,1
Charcuterie,Contaminants inorganiques et minéraux,Fer,5
Poissons,Contaminants inorganiques et minéraux,Fer,1
Crustacés et mollusques,Contaminants inorganiques et minéraux,Fer,1
Légumes (hors pomme de terre),Contaminants inorganiques et minéraux,Fer,7
Pommes de terre et apparentés,Contaminants inorganiques et minéraux,Fer,3
Légumes secs,Contaminants inorganiques et minéraux,Fer,1
Fruits,Contaminants inorganiques et minéraux,Fer,2
Fruits secs et graines oléagineuses,Contaminants inorganiques et minéraux,Fer,1
Glaces et desserts glacés,Contaminants inorganiques et minéraux,Fer,4
Chocolat,Contaminants inorganiques et minéraux,Fer,5
Sucres et dérivés,Contaminants inorganiques et minéraux,Fer,0
Eaux,Contaminants inorganiques et minéraux,Fer,0
Boissons fraîches sans alcool,Contaminants inorganiques et minéraux,Fer,1
Boissons alcoolisées,Contaminants inorganiques et minéraux,Fer,4
Café,Contaminants inorganiques et minéraux,Fer,1
Autres boissons chaudes,Contaminants inorganiques et minéraux,Fer,1
"Pizzas, quiches et pâtisseries salées",Contaminants inorganiques et minéraux,Fer,2
"Sandwiches, casse-croûte",Contaminants inorganiques et minéraux,Fer,2
Soupes et bouillons,Contaminants inorganiques et minéraux,Fer,2
Plats composés,Contaminants inorganiques et minéraux,Fer,5
"Entremets, crèmes desserts et laits gélifiés",Contaminants inorganiques et minéraux,Fer,3
Compotes et fruits cuits,Contaminants inorganiques et minéraux,Fer,0
Condiments et sauces,Contaminants inorganiques et minéraux,Fer,1
Aliments particuliers,Contaminants inorganiques et minéraux,Fer,0